date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:40	4547928/4547928	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:43%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%204&file=OSI+and+TCP+Models.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/OSI%20and%20TCP%20Models2254.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%204)
17:02:41	690039/690039	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:45%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%204&file=Connecting+Devices.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Connecting%20Devicesf6e6.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%204)
17:02:45	939297/939297	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:46%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%204&file=Transmission+Medium.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Transmission%20Mediuma845.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%204)
17:02:45	657911/657911	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:47%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%204&file=Transmission+Impairment.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Transmission%20Impairment2bb1.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%204)
17:02:46	1610439/1610439	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:50%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205&file=Data+Link+Layer+Services.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Data%20Link%20Layer%20Servicesdee0.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205)
17:02:50	3046862/3046862	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:53%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205&file=IP+Addressing+Routing.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/IP%20Addressing%20Routing21aa.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205)
17:02:51	624709/624709	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:55%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205&file=Modulation.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Modulationdce6.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205)
17:02:53	69467/69467	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:57%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205&file=Network+Layer+Services.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Network%20Layer%20Servicesad0b.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205)
17:02:53	1133897/1133897	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:56%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205&file=Multiplexing.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Multiplexing41fd.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205)
17:02:54	490254/490254	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:58%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205&file=Performance.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Performancea3a0.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205)
17:02:55	69467/69467	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:32:59%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205&file=Switching+Techniques+Network+Layer+Services.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Switching%20Techniques%20Network%20Layer%20Services4ae0.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%205)
17:02:56	336906/336906	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:00%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%206&file=Application+Layer+Services.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Application%20Layer%20Servicesd6f6.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%206)
17:03:00	2135082/2135082	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:03%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%206&file=Big+Data+and+Hadoop.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Big%20Data%20and%20Hadoop4a85.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%206)
17:03:03	296809/296809	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:05%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%206&file=Transport+Layer+Services.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Transport%20Layer%20Services42ee.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%206)
17:03:03	1203632/1203632	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:04%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%206&file=IOT.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/IOTa173.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Introduction%20to%20DBMS%20and%20Computer%20Networks&unit=Unit%206)
17:03:05	179200/179200	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:09%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%201&file=Arrays.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Arrays5936.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%201)
17:03:07	1229312/1229312	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:11%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%201&file=Complexity+Analysis.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Complexity%20Analysis89f4.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%201)
17:03:08	832512/832512	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:12%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%201&file=Introduction+to+Data+Structures.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Introduction%20to%20Data%20Structuresb327.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%201)
17:03:11	2081280/2081280	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:14%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%201&file=Sorting.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Sortingc58a.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%201)
17:03:13	1285120/1285120	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:17%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%202&file=Linked+List.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Linked%20List9e07.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%202)
17:03:13	399872/399872	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:18%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%202&file=Queues.ppt	D:/New%20folder/9to5notes/9to5notes.in/unit/Queues9fdb.ppt	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%202)
17:03:15	633346/633346	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2014%20Dec%202019%2011:33:19%20GMT	https://9to5notes.in/unit/download.php?course=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%202&file=Stacks.pdf	D:/New%20folder/9to5notes/9to5notes.in/unit/Stacks43c2.pdf	(from https://9to5notes.in/unit/unit.php?full_id=ME_2nd_Year&subject=Data%20Structure%20and%20Software%20Engineering&unit=Unit%202)
